48# Number of electrodes
# x z
0     0
1     0
2     0
3     0
4     0
5     0
6     0
7     0
8     0
9     0
10     0
11     0
12     0
13     0
14     0
15     0
16     0
17     0
18     0
19     0
20     0
21     0
22     0
23     0
24     0
25     0
26     0
27     0
28     0
29     0
30     0
31     0
32     0
33     0
34     0
35     0
36     0
37     0
38     0
39     0
40     0
41     0
42     0
43     0
44     0
45     0
46     0
47     0
909# Number of data
# a b m n rhoa
43	44	46	45	2126.119
44	45	47	46	2076.475
45	46	48	47	4166.713
1	2	5	4	792.119
2	3	6	5	1082.302
3	4	7	6	1248.225
4	5	8	7	1405.061
5	6	9	8	2001.240
6	7	10	9	2261.490
7	8	11	10	2160.003
8	9	12	11	3421.317
9	10	13	12	4530.300
10	11	14	13	3491.283
11	12	15	14	3517.129
12	13	16	15	4837.661
13	14	17	16	4622.296
14	15	18	17	4857.970
15	16	19	18	4337.465
16	17	20	19	4119.867
17	18	21	20	3261.160
18	19	22	21	3162.596
19	20	23	22	1986.421
20	21	24	23	1956.290
21	22	25	24	2024.857
22	23	26	25	1392.773
23	24	27	26	2456.367
24	25	28	27	2373.751
25	26	29	28	2205.184
26	27	30	29	2959.738
27	28	31	30	3113.701
28	29	32	31	2700.126
29	30	33	32	2583.597
30	31	34	33	2074.491
31	32	35	34	1616.856
32	33	36	35	1394.746
33	34	37	36	1093.848
34	35	38	37	914.975
35	36	39	38	892.739
36	37	40	39	1180.262
37	38	41	40	833.613
38	39	42	41	617.854
39	40	43	42	1243.643
40	41	44	43	1260.525
41	42	45	44	1177.709
42	43	46	45	1780.051
43	44	47	46	2037.984
44	45	48	47	2608.289
1	2	6	5	877.738
2	3	7	6	1294.817
3	4	8	7	1077.408
4	5	9	8	2031.946
5	6	10	9	2631.354
6	7	11	10	2644.348
7	8	12	11	2295.526
8	9	13	12	2751.178
9	10	14	13	3787.851
10	11	15	14	3600.569
11	12	16	15	4223.057
12	13	17	16	4976.401
13	14	18	17	3880.063
14	15	19	18	4157.159
15	16	20	19	4150.169
